# HOTD2 function names — the committed source of truth for the Ghidra database.
#
# Format: <address>\t<name>\t<optional comment>
# Addresses are virtual, lower-case hex, no 0x prefix.
#
# Regenerate from a live database with:   ./ghidra/run.sh export-annotations
# Replay onto a fresh import with:        ./ghidra/run.sh apply-annotations
#
# ApplyAnnotations only renames a symbol whose current name is still a Ghidra
# default (FUN_/SUB_/LAB_/DAT_/UNK_), so re-applying is idempotent and never
# clobbers a name a human chose in the GUI.
#
# Names recovered by Ghidra's own analysers (CRT, D3DX, Catch@/Unwind@) are
# deliberately NOT listed: auto-analysis recreates them on import.#
# **Rows are sorted by address, and every writer must keep them that way.**
# tools/annotate.py inserts in order; ExportAnnotations.java re-sorts on write.
# The file used to be append-only and grouped into topical sections, and both
# workstreams appending at the tail is where every TSV merge conflict came
# from -- two branches adding unrelated rows to the same last line. Sorted
# insertion puts them in different parts of the file instead. The sections
# went with it: each one spanned nearly the whole segment, so address order
# broke the twelve of them into 149 fragments.

00401260	RegionDrawResidentSet	walks the region tables; the engine's only table-driven draw path
00449ef0	ThrowerAdvanceMotion	Class 0x31's copy of ZombieAdvanceMotion.
00449f90	ThrowerDrawBonePart	Class 0x31's per-bone draw callback, installed into obj+0x12EC by EnemyThrowerInit. Aims bone 2 at the camera through FUN_00453BE0, then draws the part id from g_skeleton_node_out. Character type 0x18's parts 0x1FED and 0x1FF1 grow a companion piece by 0.025 a frame clamped at 1.0 under a Y-only scale; part 0x1FB9 ping-pongs a morph weight over 120 frames at 1/60 a frame; parts 0x2016 and 0x204A cycle 0x2017 and 0x204B plus the global frame counter modulo 0x32. The 0x1FF0 arm is unreachable -- the guard admits only 0x1FED and 0x1FF1 but the branch compares against 0x1FEE -- so 0x1FF4 is always drawn.
0044a200	ThrowerDrawPart	Draws one part for class 0x31, choosing the engine entry point: FUN_004185E0 when obj+0x136C bit 0 is set AND the global at 0x009A2BB4 (written by EvtOpSetSceneLighting14) is non-zero, else FUN_00418560. Bit 0 is never written by class-0x31 code -- it is seeded from the spawn descriptor's +0x20 word via obj+0x1316, and 18 of the 51 shipped class-0x31 spawns set it. What the alternate entry point does is [open].
0044a240	ThrowerDrawPartWithAlpha	As ThrowerDrawPart, but takes a second argument -- the alpha at obj+0x138C at every call site -- and passes it to FUN_00418620 or FUN_004185A0. Same obj+0x136C bit 0 / 0x009A2BB4 selector.
0044a280	ThrowerDrawPartAlphaIfBlinking	Picks between ThrowerDrawPartWithAlpha and ThrowerDrawPart on obj+0x136C bit 2 (TEST byte ptr [EAX + 0x136c], 0x4 -- f6806c13000004 at 0x0044A285), which is the bit EnemyThrowerInit, ThrowerStateCorpseBlink, ThrowerStateGrabPlayer and ThrowerStateBlinkInThreeHops raise. That bit is what makes obj+0x138C reach the draw at all.
0044a2b0	ThrowerDrawNodePart	[likely] Draws the part a skeleton node names: MOVSX EAX, word ptr [arg+0x14] indexes the 0x90-stride table at 0x009CA0A4 and the part id is that record's first dword. Character type 0x18 goes through ThrowerDrawPartAlphaIfBlinking with obj+0x138C; every other type through ThrowerDrawPart.
0044a300	ThrowerDrawWithEnlargedHead	The alternate obj+0x12EC draw hook, installed by EnemyThrowerInit when g_GameMode and DAT_009C88A8 are both 1 (item code 0x15) alongside doubling obj+0x3A4. Draws nothing while DAT_009C88A8 is clear, and wraps ThrowerDrawBonePart in a 2x scale for bone 2 only.
0044a360	ThrowerStateHitReaction	Class 0x31 state 1, the stumble. Clamps obj+0x1368 -- which ThrowerOnShot set to the bone index -- to 15, looks the group up in g_bone_reaction_group and the motion in g_class31_hit_reactions[set], and cross-fades it over 0x14 frames for bones under 9 or hard-sets it for 9 and above, so a leg shot cuts where an arm shot blends. On the clip's last frame it clears obj+0x34 bit 0x40000000 and obj+0x136C bit 0x400000, then goes to state 17 if obj+0x136C bit 0x4000000 is set -- which only a decapitation sets -- and otherwise asks ThrowerPickNextState.
0044a450	ThrowerStateFallAndLand	Class 0x31 state 2, the knockdown and the death fall. Sub 0 clears the surface bits, plays g_class31_motion_sets[set][5] -- the airborne clip, 0x3A6 / 0x3A4 / 0x1BC / 0x3A6 by set -- blended on a first entry and hard-rewound on a re-entry (obj+0x136C bit 0x400000, which also counts obj+0x1328 up), and launches ThrowerBeginKnockbackArc while obj+0x1328 is at most 1. Sub 1 rides the arc, freezing the pose at frame 35/20/44/44 by character type, then sets obj+0x5C = -0.05444444. Sub 2 falls until QueryGroundHeightAt(x, y+4.5, z) catches it or obj+0x1338 reaches 0x78, snaps, records the surface in obj+0x1350, bounces with vel.y *= -0.5 and vel.xz *= 0.5, plays effect 0x46 and sound 0x2716A9, and re-bounces while the vertical speed is over 0.15 -- character type 0x16 never re-bounces. Sub 3 splits: alive and not on surface 0x5A, it lies still for (rand()%10+1)*3 frames, plays 0x11B unless it is character 0x17 and gets up through sub 4 into state 0x11 when obj+0x136C bit 0x4000000 is set or ThrowerPickNextState otherwise; dead, or on surface 0x5A, it waits for obj+0x1F1 -- the motion block's clip-ran-out flag -- and goes to state 3 for character 0x16 or ThrowerEnterCorpseState for the rest, spawning effect 0x61 on a 0x5A landing in scene 3 block 4.
0044a930	ThrowerStateDeathClip	Class 0x31 state 3, reached by character type 0x16 only. Sub 0 hard-rewinds the death clip -- 0x11E for 0x16, 0x1BC for 0x17, 0x11D for 0x18 and 0x19 -- then releases the attack permit and the tracking slot in that order; sub 1 waits for obj+0x19C to reach the clip's length minus one and hands to ThrowerEnterCorpseState. Entered from state 2 sub 3 and from ThrowerStateFallToSurface; the switch still covers the other three character types, which is residue.
0044a9d0	ThrowerStateCorpseSink	Class 0x31 state 4, the corpse for every character but 0x18. Sub 0 spawns the ground ring -- from y+5.5 when the frozen clip is 0x3A6, because the ring is placed from the feet -- sets obj+0x1330 to 0x78 and obj+0x34 bit 0x20000; then 120 frames of y -= 0.04 while obj+0x194, the motion play cursor, is pinned to a pose frame drawn from g_class31_corpse_frames_m11d, _m11e, _m1bc or _m3a6 by rand()%17>>4, so the second entry comes up once in seventeen. On the last frame it frees the tracking slot if this was the last enemy present, frees the hit slot and despawns.
0044ab70	ThrowerStateCorpseBlink	Class 0x31 state 5, the corpse for character type 0x18. The same opening as state 4 -- the ground ring, obj+0x1330 = 0x78, obj+0x34 bit 0x20000 and the same pose-frame pin -- but it does not sink: it flickers, setting obj+0x138C to 1.0 and clearing obj+0x136C bit 2 on an even counter and 0.0 with the bit set on an odd one, testing the parity before the decrement so the first frame is visible, then despawns the same way after 120 frames.
0044ad60	ThrowerLeave	Class 0x31's leave-the-field helper, and the routine sitting in state slot 6. Retires from the alive count and then the present count, releases the attack permit, frees the tracking slot and clears obj+0x34 bit 0 before ActorDespawn. Called directly by ThrowerStrikeConnect and ThrowerStateGrabPlayer; nothing anywhere writes 6 to obj+0x1310, so it is never entered as a state.
0044adb0	ThrowerPickNextState	Class 0x31's next-state router, called from states 7, 1 and 17. Dispatches on the ground distance to the camera: d <= 30 (15 for character type 0x17 standing on surface 0x35) goes to state 8; otherwise the band is 1 for 40 < d <= 50 and 2 everywhere else, and it draws a candidate state from g_class31_action_picks[set][band][(rand()>>4)%10 + (obj+0x1318 & 7)*10] and offers it to ThrowerTryEnterState, latching obj+0x135C and obj+0x136C bit 0x2000 on success and falling back to state 7 on refusal. Band 0 of the table is never reached and the band != 0 test is dead code.
0044afb0	ThrowerTryEnterState	Gate for a proposed class-0x31 state on the current actor; writes obj+0x1310 and obj+0x1312 and returns 1 only if it is legal. 7 always; 8 only when ThrowerTryClaimAttackSlot FAILS and 9 only when it succeeds; 0xC and 0xD need a permit and refuse character type 0x18; 0xE and 0xF need obj+0x136C bit 0x20 clear and a successful ThrowerFindWallBeside at -1.0 or +1.0; 0x10 needs bit 0x20 clear and ThrowerFindCeilingAbove; 0x1D and 0x1E only from state 7 and only when ThrowerHasBareHand; 0x1F needs ThrowerBothHandsArmed plus a permit; 0x20 needs a permit and ground surface 0x35; everything else returns 0.
0044b180	ThrowerStateStandAndDecide	Class 0x31 state 7, the hub. Plays the idle for the actor's current stance -- the ground picks a walk variant from g_class31_motion_sets, the three wall and ceiling stances have their own clips 0x138, 0x137 and 0x131 (0x20F, 0x20C and 0x212 for character type 0x18) -- turns toward the camera with TurnActorAwayFromPointTestArrival at 0x200 a frame, then offers state 0x1D (0x1E for character 0x18, the re-arm) to ThrowerTryEnterState and otherwise asks ThrowerPickNextState what to do next. An actor off the ground does not turn. Ends by emitting the movement trail with ThrowerEmitGroundDust(0x5A).
0044b3e0	ThrowerStateWaitForPermit	Class 0x31 state 8. Idles in the pose its stance names -- 0x129, 0x124 or 0x134 off the ground, the motion set's own idle pair on it -- until ThrowerTryClaimAttackSlot succeeds, then plays sound 0x2416A9 and goes to state 9, the pounce, for character types 0x16, 0x18 and 0x19. Character 0x17 instead goes to state 0x20 when it is standing on surface 0x35 above the camera, else state 0x18.
0044b610	ThrowerLoadAttackArcScript	Copies the current attack's arc motion script into the actor's slot. The stance row is bit6 + 2*(bit7 + 2*bit17) + 3*bit8 of obj+0x136C, the entry is g_class31_melee_attacks[obj+0x130C] + (obj+0x131A + row*4)*0x10, and the pointer at that entry's +0x00 is copied as 12 dwords into g_arc_scripts at 0x009C8AA0 + obj+0x3C*0x30.
0044b670	ThrowerStateLeapDown	Class 0x31 state 9: off the roof and into shot. ThrowerStatePathFollow hands here for every character type but 0x17, having claimed an attack permit first. Sub 0 picks a landing point with ThrowerPickLandingPoint, faces g_camera_yaw_bams and begins an arc to it with step 1; the arc is stepped, the actor is re-snapped to the point each frame outside Training Mode, and at the end of the clip it goes to state 10.
0044b880	ThrowerStateLeapAside	Class 0x31 state 10, the leap back out of the player's face after a pounce. Picks a point 5 units to one side of the camera and 50 in front of it in the camera's yaw-only frame, traces a vertical segment there from y-1000 to y+1000 with ColiTraceSegmentAllSets and lands on what it hits -- falling back to g_camera_fixed_eye_y when the trace misses -- then arcs to it with ActorArcBeginToWaypoint under a three-stage arc motion script chosen by character type and stance. Plays the motion set's landing clip and returns to state 7 once 0x5A frames have passed or the actor is 50 units clear.
0044bc70	ThrowerStateFallToSurface	Class 0x31 state 11. Sub 0 records the start height in obj+0x1388, sets obj+0x34 bit 0x2000 and plays 0x1BC for character type 0x17 and 0x3A5 for everything else; sub 1 falls under obj+0x5C = -0.05444444 until QueryGroundHeightAt(x, y+1.0, z) catches it, then picks a landing clip by the drop measured against g_coli_hit_y -- over 15 units the same long clip again, between 10 and 15 the short 0x1BA for type 0x17 and 0x3A9 otherwise, under 10 none at all -- and zeroes obj+0x1388 whenever it plays one, which is what lets sub 2 exit at once instead of waiting the fall clip out. Sub 2 goes to state 10 when obj+0x34 bit 0x20000000 is set and state 7 otherwise; a dead actor, or any actor whose landing surface is 0x5A, is killed and routed to state 3 for character 0x16 or ThrowerEnterCorpseState for the rest.
0044bef0	ThrowerFindWallBeside	The gate on class-0x31 states 14 and 15. Refuses unless the actor is facing the camera within 0x2000 and obj+0x136C bit 1 is clear, then traces horizontally from a point 60 units to the actor's own left (argument -1.0) or right (+1.0), at the ground height under it plus rand()%20 + 9.0, back to the actor. On a hit it stores a point 4.5 units short of the wall in obj+0x13D8..E0 and returns 1 -- so with no wall there, the actor simply does not go.
0044c0b0	ThrowerFindCeilingAbove	The gate on class-0x31 state 16. Traces from 1000 units above the actor in its own frame down to the actor, and on a hit stores the contact point in obj+0x13D8..E0 and returns 1.
0044c170	ThrowerStateLeapToSurface	Class 0x31 states 14, 15 and 16: the leap onto a wall or the ceiling. ThrowerFindWallBeside / ThrowerFindCeilingAbove have already put the destination in obj+0x13D8..E0; this begins the arc with ActorArcBeginToAtSpeed, installs the state's own three-stage arc motion script (g_class31_arc_to_wall_b for 14, g_class31_arc_to_wall_a for 15, g_class31_arc_to_ceiling for 16), plays sound 0x2416A9, and on arrival sets the stance bit its state id names -- 14 sets 0x80, 15 sets 0x40, 16 sets 0x100 in obj+0x136C -- plus 0x20, off the ground. Those bits are the stance that selects every later motion and attack row. Returns to state 7.
0044c2e0	ThrowerStateGetUp	Class 0x31 state 17, and it is the decapitation recovery: only ThrowerShotFeedback's head-model swap sets the obj+0x136C bit 0x4000000 that routes states 1 and 2 here. Sets obj+0x34 bit 0x100 -- the window in which shots ricochet -- plays motion 0x127 with a 5-frame fade for every character type, plays sound 0x1C17A9, and on the last frame clears both that bit and the knocked-down latch before asking ThrowerPickNextState. Character type 0x18 can never reach it, since ThrowerOnShot diverts it to state 0x21; and 0x127 is a szom.bin clip, so character type 0x17 -- the only one on kame.bin's skeleton -- asks here for a clip its own rig does not have. [open]
0044c370	TraceActorSurfaceContactPoint	probes 1000 units in (1500 on the ceiling) to a point 4.5 past the actor and returns the hit itself, with NO standoff. Used by the knockdown bounce. ThrowerSnapToSurface does NOT call this -- see ThrowerFindSurfaceUnderfoot at 0x44C640
0044c600	ThrowerSnapToSurface	Calls ThrowerFindSurfaceUnderfoot and, when it answers, moves the actor onto the contact point. Run every frame by ThrowerPushOutOfWorld but only in states 7 and 8, which is what keeps a wall-clinging actor stuck to its wall while it stands and waits -- and what drops it into state 11 when the wall has gone.
0044c640	ThrowerFindSurfaceUnderfoot	what ThrowerSnapToSurface actually calls -- NOT TraceActorSurfaceContactPoint (0x44C370), which looks identical for its first forty lines. Probes 10 units each side of the actor (15 on the ceiling). On a WALL it re-places the actor 6.5 units off the surface it found, keeping the actor's own y; on floor/ceiling it takes y from the hit and keeps x/z. Misses answer (1000,y,1000) for a wall and -1000 for a ceiling so the range test fails and the actor goes to state 8 or 11
0044ca40	ThrowerTryClaimAttackSlot	Class 0x31's copy of TryClaimAttackSlot, instruction for instruction. Neither tests the distance queue -- that gate lives in ZombieStateApproach, before the call -- so a thrower may claim from any range.
0044cba0	ThrowerPickLandingPoint	Where a thrower lands, and it is a place on the **screen** rather than in the world: a pixel offset divided by g_projection_distance_px and unprojected at a fixed depth, so the actor always arrives the same distance in front of the camera however the camera is pointing. Depth -15.5 (-6.0 from state 0x17); vertical offset 390px for character type 0x16, 320 otherwise, and -350 from states 0x16/0x17. Sideways is +/-160px by attack permit and zero when g_max_attackers is 1.
0044ce60	ThrowerStrikeConnect	Class 0x31's strike connect, run every frame of an attack state. Tests no range at all. Picks the 32-bit table g_class31_melee_attacks[set] entry obj+0x131A + obj+0x1364*4, or g_class31_throws entry obj+0x131A when obj+0x136C bit 0x400 is set, fires when obj+0x19C equals the entry's hit frame -- or, in the 32-bit table, when that frame is -1 and the arc has reached phase 4 -- passes the cancel-mask test (obj+0x1318 & mask & 7) != mask, then calls PlayerTakeDamage(obj+0x121, kind, the entry's player motion) and latches obj+0x136C bit 0x800. kind is 1 normally and 0 when obj+0x34 bit 0x2000000 is set, in which case the actor despawns immediately after the hit.
0044cfb0	ThrowerReleaseAttackPermit	class 0x31's ReleaseAttackSlot. Frees g_attack_permits[obj+0x121] and, if obj+0x136C bit 0x8000 is set, lowers g_attack_committed. THE BIT IS 0x8000, NOT 0x20000: FUN_00456520 is the class-0x30 twin and tests 0x20000 of the same word. Calling the wrong one leaves the latch up and no enemy in the scene can claim again. Eight class-0x31 call sites
0044cff0	ThrowerRetireFromAliveCount	Decrements g_enemies_alive exactly once per actor, guarded by obj+0x136C bit 0x800000.
0044d020	ThrowerRetireFromPresentCount	Decrements g_enemies_present exactly once per actor, guarded by obj+0x136C bit 0x1000000.
0044d050	ThrowerReleaseSlotOnDeath	class 0x31, called by every fall state. If obj+0x34 bit 0x4000000 or hp<1: untrack from the camera (obj+0x120, NOT the permit) unless this is the last enemy present, then ThrowerRetireFromAliveCount. So g_enemies_alive falls when the actor is knocked off its feet, not when the body settles
0044d0a0	ThrowerEnterCorpseState	Puts the actor into its corpse state: clears obj+0x136C bits 0x180000, sets obj+0x34 bits 0xC001 (bit 14 freezes the motion advance), retires from g_enemies_present unless obj+0x38 bit 0, steps the motion play cursor back one frame, then enters state 5 for character type 0x18 and state 4 otherwise.
0044d120	ThrowerBeginKnockbackArc	where a shot class-0x31 body flies. t = 15.0/|obj+0x70..0x78| * 10.0, clamped at 0, *1.5 if obj+0x34 bit 0x4000000 (already dead); destination is the view-space tracked point with z REDUCED BY t, transformed back through the view-to-world matrix at DAT_009A6040 + block*0x1A4. The camera space has -z in front (ThrowerPickLandingPoint unprojects at -15.5), so z-t throws the body AWAY from the viewer, keeping its screen x and y. Two callers: FUN_0044A450 and ThrowerStateKnockedTumbling
0044d230	SetCurrentActorMotionBlended	Thunk to ActorSetMotionBlended on the current actor's motion block. Its first argument is read but never used, so it always drives DAT_009A26A0 + 0x194; every caller passes obj+0x194 anyway. The third argument is a start frame inside the clip, not a blend length.
0044d260	ThrowerEmitGroundDust	Effect emitter keyed by a code. 0x46, from the ground bounce, is one-shot per bounce on obj+0x136C bit 0x4000 and spawns sprite 0x61 in rain or on surfaces 0x37 and 0x05 and sprite 0x46 otherwise, oriented to g_coli_hit_normal. 0x50, from an arc landing, needs obj+0x34 bit 0x10000000 clear and bit 0x20000000 set and spawns sprite 0x4B scaled 0.4, 2.0, 0.2. 0x50 and 0x5A then share a movement trail for character type 0x16 that spawns two sprites at the midpoint of obj+0x13E4..EC and the current position, sized by distance * 0.05981133 with scale 0.8 and 0.2, at +0x4000 and +0x8000 BAMS.
0044d5f0	FitArcScriptByFadeLength	Stretches an installed arc motion script onto obj+0x1334 for every character type but 0x19. slack = duration - script[10] - script[6] - script[7] + script[5]; with room to spare it grows both stages' fade lengths (indices 6 and 10) a frame at a time until they fill it, clamping each at 0x7F, and when it is tight it walks stage 1's start frame up and its threshold down until the three stages fit. Called from ActorArcStep phase 0.
0044d780	ActorArcBeginToWaypoint	Begin the leg of a path: ActorArcBeginTo to the waypoint's destination, then install the waypoint's motion set. Character type 0x19 uses a different arc builder. When the set is the default it instead draws an attack index from g_class31_picks the way ZombieStateStrike does, so a waypoint can arrive swinging.
0044d860	ActorArcStep	Advance one frame of an arc begun by ActorArcBegin. Returns 0 once the frame counter passes the duration, which is how the leap states know they have landed.
0044da60	InstallArcMotionScript	Copies a 12-dword three-stage arc motion script -- {s32 motion, s32 start frame, s32 fade, s32 threshold} x 3 -- into g_arc_scripts at 0x009C8AA0, stride 0x30, indexed by the actor's enemy slot obj+0x3C. ActorArcStep plays stage 0 at the start of the arc, stage 1 once the clip frame passes threshold [3], stage 2 once it passes [7], and reports the arc finished past [11]. Every script in the program names the same motion in all three stages, so a script is one clip cut into windup, flight and landing.
0044db50	ActorArcBeginToAtSpeed	ActorArcBegin whose duration it works out itself: the horizontal distance at a fixed 30 world units per minFrames, where minFrames is 10 when obj+0x136C bit 0x2000000 is set and obj+0x34 bits 0x44000000 are not, else 15 -- so 2.0 or 3.0 units a frame -- clamped up to minFrames. ActorArcBeginToWaypoint uses this instead of ActorArcBeginTo for character type 0x19.
0044dc10	ActorArcBegin	Record a ballistic arc: source in obj+0x13C0/C4/C8, destination in obj+0x13CC/D0/D4, duration in obj+0x1334, frame counter obj+0x1330 reset. ActorArcVelocity then rebuilds the velocity every frame from those.
0044dc70	ActorArcBeginTo	Begin an arc from the actor's position to a named point. Records src in obj+0x13C0..C8 and dst in obj+0x13CC..D4, zeroes the frame counter, and sets the duration at obj+0x1334 to n - n%step where n = (int)(dist2d * step) -- the **2D** distance, x and z only, y is not in it. So step is frames per unit: 1 gives a unit a frame, 2 gives half. The same value is passed to ActorArcStep as the arc kind, so it selects which axis carries the arc as well as the speed. Ghidra drops the FPU argument to __ftol here and shows the distance as nothing at all.
0044dd00	ActorArcInterpolate	Advances g_cur_actor's ballistic arc by param_1 frames and writes obj+0x40/0x44/0x48. Reads the six-float arc record ActorArcBeginTo laid down -- obj+0x13C0/13C4/13C8 the start, obj+0x13CC/13D0/13D4 the destination -- with obj+0x1330 as the elapsed frame count and obj+0x1334 as the total. Gravity is 0.027222222 on the Y term. Returns 0 once elapsed reaches the total. Only two callers (FUN_0044D780, FUN_0045E010), but classes 0x2D, 0x30, 0x31 and 0x40 all re-implement the same maths on the same offsets, so those offsets are a convention the whole game shares rather than one routine's private state.
0044dde0	ActorArcVelocityY	ActorArcVelocity (FUN_0044DE80) case 0 with the axis selector taken out: one frame of the shared arc record as a velocity, the parabola on y. Advances obj+0x1330, returns 0 once it has reached obj+0x1334, and computes the velocity for frame t+1 while testing with t. Two callers: ThrowerStateFallAndLand (0x0044A561) and ZombieStateDeathKnockbackArc (0x0045534C).
0044de80	ActorArcVelocity	The arc itself, and it is exact projectile motion: vel.xz = (dst - src)/T flat, and vel.y = -0.027222222*n + (T*T*0.027222222 + 2*dy)/(2*T) for frame n of T. The 0.027222222 is half the 0.05444444 gravity ThrowerStateFallAndLand uses, which is what a discrete `pos += vel; vel -= g` integrator needs. The six cases select which axis carries the arc.
0044e120	ClearCurrentActorVelocityAndAccel	Zeroes the current actor's acceleration (+0x58/5C/60) and then its velocity (+0x4C/50/54).
0044e140	FitArcScriptByStartFrame	The same fit for character type 0x19, and it moves start frames rather than fades. slack = duration - script[10] - script[6] - script[7] + script[5] and k = (int)(|slack| * 0.5): a positive slack adds k to both fade lengths and puts the remainder on stage 1's, a negative one advances stage 1's and stage 2's start frames (indices 5 and 9) by k, each clamped at its own threshold, and puts the remainder on stage 1's -- so a short leap skips into the middle of the clip rather than playing it slowly. Ghidra drops the FPU argument to __ftol; the 0.5 is float ptr 0x004C43AC = 0x3F000000.
0044e2a0	ThrowerStateWalkDistance	Class 0x31 state 18, an entrance. Plays the walk variant from g_class31_motion_sets[set] chosen by obj+0x34 bit 27, records the start position in obj+0x13C0..C8, and hands to state 7 once the 2D distance travelled reaches the float at descriptor tail +0x04. Stage 2 block 17 step 5 spawns two zstin this way with a distance of 15.0. Raises obj+0x136C bit 0x1000 on entry (OR CH, 0x10 -- 80cd10 at 0x0044E32E) and clears it on the way out (0x0044E3DE). Nothing in the program tests that bit. [open]
0044e410	ThrowerStateEntranceClip	Class 0x31 state 19, an entrance. Plays the motion named by the int at descriptor tail +0x04 once -- 296 for every stage-2 zstin that uses it -- then plays sound 0x2916A9, sets obj+0x136C bit 0x80000 and hands to state 7.
0044e4c0	ThrowerStateLeapToPoint	Class 0x31 state 20, and how a spawn placed in the air reaches the ground. Sub 0 hands the actor's position and the descriptor's destination (float x,y,z at +0x04/08/0C) and duration (s32 at +0x10) to ActorArcBegin; each frame ActorArcStep integrates the arc, and when it ends the actor drops into state 7 to stand and throw. Stage 2 block 5 spawns two zsass at y = 87 whose descriptors name the street at y = 37, 50 units down over 30 and 35 frames.
0044e5d0	ThrowerStateRideObjectPath	Class 0x31 state 21, an entrance no shipped spawn uses and no state can reach -- cut content. Rides object path 0x14F (op_st2 local 7) at g_cam_path_frame for 0xC4 frames; both the slot and the count are immediates, not descriptor fields. Copies position and all three BAMS angles out of CamEvalObjectPath6 -- which returns three floats then three ints, whatever Ghidra's signature says -- holds obj+0x34 bit 0x100 while riding, then claims an attack permit, discards the answer, and goes to state 9.
0044e6b0	ThrowerStateLeapStrike	Class 0x31 state 22, an entrance no shipped spawn uses and no state can reach -- dead code. When ThrowerTryClaimAttackSlot fails it forces obj+0x121 from g_active_player -- 1 gives player 1, 2 a coin flip, 0 or -1 player 0 -- and attacks with no permit actually held. Draws obj+0x131A from g_class31_attack_picks, installs the arc script with ThrowerLoadAttackArcScript, and arcs to ThrowerPickLandingPoint over the s32 frame count at descriptor tail +0x04, calling ThrowerStrikeConnect every frame IsPlayerAttackable allows. Ends in state 10.
0044e830	ThrowerStateDelayedPounce	Class 0x31 state 23, both an entrance and an attack. Sets obj+0x1F8 bit 0x10 and plays the motion at descriptor tail +0x04 for the frame count at tail +0x08; then clears the bit, claims a permit, draws an attack index, and arcs from where it stands to ThrowerPickLandingPoint taken at g_camera_eye_y over that same count, rolling obj+0x6C back to level at 0xCCC a frame and calling ThrowerStrikeConnect every frame. Ends in state 25. Stage 2 block 21 step 2 spawns two zstin this way, motion 310 over 45 and 60 frames.
0044ea50	ThrowerStateCloseAndStrike	Class 0x31 state 24. Takes ThrowerPickLandingPoint as its target, draws an attack index, plays the g_class31_throws entry's approach clip until it is within that entry's own distance of the point, then plays its strike clip and calls ThrowerStrikeConnect on the frame the entry names. Ends in state 25.
0044ec80	ThrowerStateWithdraw	Class 0x31 state 25, the retreat the two scripted attacks end in. Plays the motion set's landing clip and returns to state 7 once 0x5A frames have passed or the actor is more than 50 units from the camera -- 30 units and no clip test for character type 0x17, which also faces away from its strike anchor while it goes. Releases the permit with ThrowerReleaseAttackPermit on the way out.
0044ee00	ThrowerStatePathFollow	Class 0x31 state 26: follow a predefined path. Sub 0 reads a delay from descriptor +0x04 and points obj+0x1394 at the waypoint list, which starts at descriptor +0x08 and runs in **16-byte entries** -- {s16 step, s16 motion_set, f32 x, f32 y, f32 z} -- terminated by a step of -1. Sub 1 counts the delay down; sub 2 begins the leg with ActorArcBeginToWaypoint; sub 3 steps the arc and, on arrival, plays sound 0x2916A9 and advances the cursor. At the terminator, character type 0x17 goes to state 7 and everything else claims an attack permit and goes to state 9.
0044ef90	ThrowerStateGrabPlayer	Class 0x31 state 27, an entrance; four shipped spawns, all zslman in st5evtbl. Six sub-states over an 0x18-byte tail: three floats at +0x04 are the destination camera-relative offset of which only +0x08, the Y, is ever read; s16 +0x10 the camera path frame to drop on, matched against g_cam_path_frame or camera block 2's frame at 0x009A6458; s16 +0x12 the descent frames; s16 +0x14 the hold frames; s8 +0x16 the player to grab, -1 meaning at random. It anchors to the camera every frame, drops on the cue at obj+0x50 = dY/frames, blinks for the first fifteen hold frames, then takes g_attack_permits[p] outright with a two-player fallback, plays 0x1E5 or 0x1E7 at random and damages on obj+0x19C == 30. Subs 2 to 4 ride MatrixTranslate(camera eye) then MatrixRotateY(g_camera_yaw_bams + 0x8000) and write only X and Z; sub 5 tracks the camera by delta through obj+0x137C..0x1384. Sounds 0x2516A9 ENE_WALK2 on the cue frame and again at half the finish clip, 0x2916A9 ENE_WALK6 on landing, 0x1F23A9 LASER_SWORD on as the hold begins and 0x2023A9 LASER_SWORD off on every frame of the solid phase. The last pair is a looping pair from g_looping_se_ids / g_looping_se_stop_ids, so the off id calls SoundStopAllLoopingSe before playing; it still fires once per solid frame, which is the engine's own behaviour and not a dedupe.
0044f510	ThrowerStateWaitForCue	Class 0x31 state 28, an entrance; six shipped spawns, all in trnevtbl. The tail is 0x0C bytes: s32 +0x04 the motion, played from rand() modulo its own length with a 4-frame blend; s16 +0x08 the condition -- 0 a frame count in obj+0x1330, 1 g_cam_path_frame, 2 g_script_flags -- and s16 +0x0A the operand. Then it jumps to the signed byte at tail +0x03, which is 7 in every shipped record. Any selector above 2 waits for ever.
0044f5d0	ThrowerBothHandsArmed	True when character 0x16 or 0x18 still holds a weapon in either hand -- the gate on state 0x1F, the throw. Character types 0x17 and 0x19 always fail it, which is why zstin never throws.
0044f630	ThrowerPickThrowingHand	Returns the bone index of the hand still holding a weapon: 5 for the right (draw slot obj+0x4DC) or 8 for the left (obj+0x68C), 0 if neither. The armed part ids are 0x1FA2 and 0x1F9E for character type 0x16 and 0x1FF3 and 0x1FEF for 0x18; every other type returns 0 without a test. The rand() parity picks which hand is PREFERRED, not which one throws: parity 0 tests bone 8 then bone 5 and parity 1 tests bone 5 then bone 8, each later test overwriting the earlier, so a bare preferred hand falls through to the other one and only two bare hands give 0. [proved]
0044f720	ThrowerHasBareHand	True when one of character 0x16's or 0x18's hands has thrown its weapon and the other has not been restored -- the gate on states 0x1D and 0x1E, the re-arm. Character types 0x17 and 0x19 have no weapon and always fail it.
